case,epsilon,alpha,runs,fraction,errors,error_rate,error_cp_lower,error_cp_upper
N1000_q0.05_d-0.02,0.02,0.05,1000,0.999516,1,0.001,2.531748749129404e-05,0.005558924279826672
N1000_q0.05_d0,0.02,0.05,1000,0.7097019999999999,0,0.0,0.0,0.003682083896865671
N1000_q0.05_d0.018,0.02,0.05,1000,0.996654,0,0.0,0.0,0.003682083896865671
N1000_q0.05_d0.02,0.02,0.05,1000,0.998955,1,0.001,2.531748749129404e-05,0.005558924279826672
N1000_q0.05_d0.022,0.02,0.05,1000,0.9950889999999999,2,0.002,0.00024230111687723185,0.007205838911457497
N1000_q0.05_d0.04,0.02,0.05,1000,0.592025,0,0.0,0.0,0.003682083896865671
N1000_q0.3_d-0.02,0.02,0.05,1000,0.993939,7,0.007,0.002818858759620524,0.014369194978918632
N1000_q0.3_d0,0.02,0.05,1000,0.9624499999999999,3,0.003,0.0006190999316495713,0.008742023238478303
N1000_q0.3_d0.018,0.02,0.05,1000,0.993904,3,0.003,0.0006190999316495713,0.008742023238478303
N1000_q0.3_d0.02,0.02,0.05,1000,0.993407,8,0.008,0.003459976165329311,0.015702049176074682
N1000_q0.3_d0.022,0.02,0.05,1000,0.9927039999999999,7,0.007,0.002818858759620524,0.014369194978918632
N1000_q0.3_d0.04,0.02,0.05,1000,0.881417,0,0.0,0.0,0.003682083896865671
N1000_q0.8_d-0.02,0.02,0.05,1000,0.991124,10,0.01,0.004805510691049308,0.01831324305511245
N1000_q0.8_d0,0.02,0.05,1000,0.975601,9,0.009,0.004123395660342473,0.017015783069894586
N1000_q0.8_d0.018,0.02,0.05,1000,0.990831,8,0.008,0.003459976165329311,0.015702049176074682
N1000_q0.8_d0.02,0.02,0.05,1000,0.99272,9,0.009,0.004123395660342473,0.017015783069894586
N1000_q0.8_d0.022,0.02,0.05,1000,0.986073,10,0.01,0.004805510691049308,0.01831324305511245
N1000_q0.8_d0.04,0.02,0.05,1000,0.9524879999999999,3,0.003,0.0006190999316495713,0.008742023238478303
N200_q0.05_d-0.02,0.02,0.05,1000,1.0,0,0.0,0.0,0.003682083896865671
N200_q0.05_d0,0.02,0.05,1000,0.9857100000000001,0,0.0,0.0,0.003682083896865671
N200_q0.05_d0.018,0.02,0.05,1000,1.0,0,0.0,0.0,0.003682083896865671
N200_q0.05_d0.02,0.02,0.05,1000,1.0,0,0.0,0.0,0.003682083896865671
N200_q0.05_d0.022,0.02,0.05,1000,1.0,0,0.0,0.0,0.003682083896865671
N200_q0.05_d0.04,0.02,0.05,1000,0.974635,0,0.0,0.0,0.003682083896865671
N200_q0.3_d-0.02,0.02,0.05,1000,0.998425,4,0.004,0.0010909079877259714,0.010209664683929871
N200_q0.3_d0,0.02,0.05,1000,0.98684,2,0.002,0.00024230111687723185,0.007205838911457497
N200_q0.3_d0.018,0.02,0.05,1000,0.9989049999999999,4,0.004,0.0010909079877259714,0.010209664683929871
N200_q0.3_d0.02,0.02,0.05,1000,0.99846,3,0.003,0.0006190999316495713,0.008742023238478303
N200_q0.3_d0.022,0.02,0.05,1000,0.999495,1,0.001,2.531748749129404e-05,0.005558924279826672
N200_q0.3_d0.04,0.02,0.05,1000,0.97407,1,0.001,2.531748749129404e-05,0.005558924279826672
N200_q0.8_d-0.02,0.02,0.05,1000,0.997195,6,0.006,0.0022049824851513773,0.013013423270974496
N200_q0.8_d0,0.02,0.05,1000,0.98776,5,0.005,0.00162541951756276,0.011629470559812147
N200_q0.8_d0.018,0.02,0.05,1000,0.9977849999999999,4,0.004,0.0010909079877259714,0.010209664683929871
N200_q0.8_d0.02,0.02,0.05,1000,0.99448,9,0.009,0.004123395660342473,0.017015783069894586
N200_q0.8_d0.022,0.02,0.05,1000,0.99746,6,0.006,0.0022049824851513773,0.013013423270974496
N200_q0.8_d0.04,0.02,0.05,1000,0.97548,1,0.001,2.531748749129404e-05,0.005558924279826672
N5000_q0.05_d-0.02,0.02,0.05,1000,0.9895724,9,0.009,0.004123395660342473,0.017015783069894586
N5000_q0.05_d0,0.02,0.05,1000,0.275168,0,0.0,0.0,0.003682083896865671
N5000_q0.05_d0.018,0.02,0.05,1000,0.9655916,4,0.004,0.0010909079877259714,0.010209664683929871
N5000_q0.05_d0.02,0.02,0.05,1000,0.9934844,6,0.006,0.0022049824851513773,0.013013423270974496
N5000_q0.05_d0.022,0.02,0.05,1000,0.9639650000000001,0,0.0,0.0,0.003682083896865671
N5000_q0.05_d0.04,0.02,0.05,1000,0.1860012,0,0.0,0.0,0.003682083896865671
N5000_q0.3_d-0.02,0.02,0.05,1000,0.9839127999999999,11,0.011,0.005503594192313587,0.019596628222016514
N5000_q0.3_d0,0.02,0.05,1000,0.7254372,1,0.001,2.531748749129404e-05,0.005558924279826672
N5000_q0.3_d0.018,0.02,0.05,1000,0.9837454,7,0.007,0.002818858759620524,0.014369194978918632
N5000_q0.3_d0.02,0.02,0.05,1000,0.9859268,9,0.009,0.004123395660342473,0.017015783069894586
N5000_q0.3_d0.022,0.02,0.05,1000,0.9807704,10,0.01,0.004805510691049308,0.01831324305511245
N5000_q0.3_d0.04,0.02,0.05,1000,0.570793,1,0.001,2.531748749129404e-05,0.005558924279826672
