dataset,pair,delta,epsilon,fraction,N,runs,gap,cohort
arc,0,-0.074644549763033,0.02,0.4396919431279621,844,30,0.054644549763033,random
arc,1,0.0521327014218,0.02,0.6074249605055292,844,30,0.0321327014218,random
arc,2,0.015402843601895002,0.02,0.9910742496050553,844,30,0.004597156398104998,random
arc,3,0.097156398104265,0.02,0.30726698262243285,844,30,0.077156398104265,random
arc,4,0.13625592417061602,0.02,0.20592417061611373,844,30,0.11625592417061602,random
arc,5,-0.023696682464454003,0.02,0.9866508688783571,844,30,0.0036966824644540028,random
arc,6,0.035545023696682006,0.02,0.914257503949447,844,30,0.015545023696682005,random
arc,7,0.045023696682464004,0.02,0.748736176935229,844,30,0.025023696682464003,random
arc,8,0.11848341232227401,0.02,0.21761453396524486,844,30,0.098483412322274,random
arc,9,-0.140995260663507,0.02,0.18708530805687204,844,30,0.120995260663507,random
arc,10,0.031990521327014,0.02,0.8751184834123222,844,30,0.011990521327014,random
arc,11,0.06516587677725101,0.02,0.4630726698262243,844,30,0.04516587677725101,random
arc,12,0.049763033175355006,0.02,0.7035545023696682,844,30,0.029763033175355006,random
arc,13,0.004739336492890001,0.02,0.9063981042654029,844,30,0.01526066350711,random
arc,14,-0.068720379146919,0.02,0.4257109004739336,844,30,0.048720379146919,random
arc,15,-0.11848341232227401,0.02,0.2066350710900474,844,30,0.098483412322274,random
arc,16,-0.0023696682464450004,0.02,0.9328593996840443,844,30,0.017630331753555,random
arc,17,-0.07819905213270101,0.02,0.42685624012638235,844,30,0.058199052132701004,random
arc,18,-0.11848341232227401,0.02,0.22693522906793048,844,30,0.098483412322274,random
arc,19,-0.08412322274881501,0.02,0.38886255924170615,844,30,0.064123222748815,random
arc,20,0.092417061611374,0.02,0.35754344391785153,844,30,0.072417061611374,random
arc,21,-0.19549763033175302,0.02,0.1122037914691943,844,30,0.17549763033175303,random
arc,22,-0.135071090047393,0.02,0.19293048973143762,844,30,0.11507109004739301,random
arc,23,-0.11729857819905201,0.02,0.2363744075829384,844,30,0.09729857819905201,random
arc,24,-0.12322274881516501,0.02,0.22693522906793048,844,30,0.10322274881516501,random
arc,25,0.170616113744075,0.02,0.11804897314375988,844,30,0.15061611374407502,random
arc,26,-0.151658767772511,0.02,0.1519747235387046,844,30,0.131658767772511,random
arc,27,-0.007109004739336001,0.02,0.9158767772511849,844,30,0.012890995260664,random
arc,28,-0.104265402843601,0.02,0.2929304897314376,844,30,0.084265402843601,random
arc,29,0.041469194312796005,0.02,0.7717614533965246,844,30,0.021469194312796005,random
arc,30,0.09478672985781901,0.02,0.35252764612954185,844,30,0.074786729857819,random
arc,31,0.024881516587677004,0.02,0.9519747235387046,844,30,0.004881516587677003,random
arc,32,0.01303317535545,0.02,0.9881516587677726,844,30,0.00696682464455,random
arc,33,0.085308056872037,0.02,0.3343996840442338,844,30,0.065308056872037,random
arc,34,-0.09004739336492801,0.02,0.38088467614533966,844,30,0.070047393364928,random
arc,35,-0.22037914691943103,0.02,0.10458135860979463,844,30,0.20037914691943104,random
arc,36,0.030805687203791003,0.02,0.9385466034755134,844,30,0.010805687203791003,random
arc,37,-0.08412322274881501,0.02,0.35422590837282786,844,30,0.064123222748815,random
arc,38,0.119668246445497,0.02,0.21394154818325437,844,30,0.099668246445497,random
arc,39,0.19312796208530802,0.02,0.1264612954186414,844,30,0.17312796208530803,random
arc,40,0.055687203791469006,0.02,0.6328593996840443,844,30,0.035687203791469,random
arc,41,0.127962085308056,0.02,0.19541864139020537,844,30,0.107962085308056,random
arc,42,0.040284360189573,0.02,0.7926935229067931,844,30,0.020284360189573,random
arc,43,0.015402843601895002,0.02,0.9961690363349132,844,30,0.004597156398104998,random
arc,44,-0.028436018957345002,0.02,0.9740916271721959,844,30,0.008436018957345002,random
arc,45,-0.13625592417061602,0.02,0.1669431279620853,844,30,0.11625592417061602,random
arc,46,0.11611374407582901,0.02,0.2112954186413902,844,30,0.09611374407582901,random
arc,47,0.28317535545023703,0.02,0.07661927330173775,844,30,0.263175355450237,random
