case,N,q,gap,delta,epsilon,variance,method,runs,fraction,errors,error_upper
N1000_q0.05_o-0.002,1000,0.05,0.002,0.018000000000000002,0.02,0.049676000000000005,direct_betting,300,0.99484,0,0.012220974694293552
N1000_q0.05_o-0.002,1000,0.05,0.002,0.018000000000000002,0.02,0.049676000000000005,eb_grid,300,0.99896,0,0.012220974694293552
N1000_q0.05_o-0.002,1000,0.05,0.002,0.018000000000000002,0.02,0.049676000000000005,planned_gaussian,300,0.5833333333333334,1,0.018431252048067885
N1000_q0.05_o-0.004,1000,0.05,0.004,0.016,0.02,0.049744000000000003,direct_betting,300,0.9841933333333333,0,0.012220974694293552
N1000_q0.05_o-0.004,1000,0.05,0.004,0.016,0.02,0.049744000000000003,eb_grid,300,0.9963533333333333,0,0.012220974694293552
N1000_q0.05_o-0.004,1000,0.05,0.004,0.016,0.02,0.049744000000000003,planned_gaussian,300,0.65251,0,0.012220974694293552
N1000_q0.05_o-0.01,1000,0.05,0.01,0.01,0.02,0.049899999999999,direct_betting,300,0.8644166666666666,0,0.012220974694293552
N1000_q0.05_o-0.01,1000,0.05,0.01,0.01,0.02,0.049899999999999,eb_grid,300,0.94584,0,0.012220974694293552
N1000_q0.05_o-0.01,1000,0.05,0.01,0.01,0.02,0.049899999999999,planned_gaussian,300,0.59286,0,0.012220974694293552
N1000_q0.05_o-0.02,1000,0.05,0.02,0.0,0.02,0.05,direct_betting,300,0.7136,0,0.012220974694293552
N1000_q0.05_o-0.02,1000,0.05,0.02,0.0,0.02,0.05,eb_grid,300,0.8252433333333333,0,0.012220974694293552
N1000_q0.05_o-0.02,1000,0.05,0.02,0.0,0.02,0.05,planned_gaussian,300,0.47133,0,0.012220974694293552
N1000_q0.05_o0,1000,0.05,0.0,0.02,0.02,0.049599999999999006,direct_betting,300,1.0,0,0.012220974694293552
N1000_q0.05_o0,1000,0.05,0.0,0.02,0.02,0.049599999999999006,eb_grid,300,1.0,0,0.012220974694293552
N1000_q0.05_o0,1000,0.05,0.0,0.02,0.02,0.049599999999999006,planned_gaussian,300,0.6644066666666667,0,0.012220974694293552
N1000_q0.05_o0.002,1000,0.05,0.001999999999999,0.022,0.02,0.049516000000000004,direct_betting,300,0.9972966666666667,0,0.012220974694293552
N1000_q0.05_o0.002,1000,0.05,0.001999999999999,0.022,0.02,0.049516000000000004,eb_grid,300,0.9990066666666667,0,0.012220974694293552
N1000_q0.05_o0.002,1000,0.05,0.001999999999999,0.022,0.02,0.049516000000000004,planned_gaussian,300,0.6087433333333333,119,0.45448874326587263
N1000_q0.05_o0.004,1000,0.05,0.004,0.024,0.02,0.049423999999999,direct_betting,300,0.9784966666666666,0,0.012220974694293552
N1000_q0.05_o0.004,1000,0.05,0.004,0.024,0.02,0.049423999999999,eb_grid,300,0.9963133333333334,0,0.012220974694293552
N1000_q0.05_o0.004,1000,0.05,0.004,0.024,0.02,0.049423999999999,planned_gaussian,300,0.6676333333333333,97,0.37948273277862027
