dataset,method,truth,runs,fraction,error_rate
arc,completion,A,1230,0.9267233075174355,0.0
arc,completion,B,1320,0.915337318684475,0.0
arc,completion,E,450,0.9891758820431806,0.0
arc,eb_grid,A,1230,0.5483412322274881,0.0
arc,eb_grid,B,1320,0.4619488726123797,0.0
arc,eb_grid,E,450,0.9780226434965771,0.0
arc,eb_predictable,A,1230,0.4985926482487574,0.0
arc,eb_predictable,B,1320,0.4016695389918139,0.0
arc,eb_predictable,E,450,0.9787440758293838,0.0
arc,fixed_plugin_0.1,A,1230,0.10071090047393365,0.13739837398373983
arc,fixed_plugin_0.1,B,1320,0.10071090047393365,0.09848484848484848
arc,fixed_plugin_0.1,E,450,0.10071090047393365,0.6555555555555556
arc,fixed_plugin_0.25,A,1230,0.25,0.08943089430894309
arc,fixed_plugin_0.25,B,1320,0.25,0.06060606060606061
arc,fixed_plugin_0.25,E,450,0.25,0.3711111111111111
arc,fixed_plugin_0.5,A,1230,0.5,0.05609756097560976
arc,fixed_plugin_0.5,B,1320,0.5,0.04242424242424243
arc,fixed_plugin_0.5,E,450,0.5,0.26222222222222225
arc,hoeffding_grid,A,1230,0.7110334065425962,0.0
arc,hoeffding_grid,B,1320,0.6519819043515727,0.0
arc,hoeffding_grid,E,450,0.9891758820431806,0.0
arc,normal_peeking,A,1230,0.21518995877162564,0.05121951219512195
arc,normal_peeking,B,1320,0.1703387548470487,0.03787878787878788
arc,normal_peeking,E,450,0.5674144286466561,0.13777777777777778
arc,separate_arm,A,1230,0.7468953492852464,0.0
arc,separate_arm,B,1320,0.7007091052707166,0.0
arc,separate_arm,E,450,0.9890784623486046,0.0
arc,serfling_spending,A,1230,0.776132817015374,0.0
arc,serfling_spending,B,1320,0.7423793623438173,0.0
arc,serfling_spending,E,450,0.9891758820431806,0.0
composite,completion,A,1410,0.9103093929036531,0.0
composite,completion,B,1080,0.9027599826691115,0.0
composite,completion,E,510,0.9898950179612267,0.0
composite,eb_grid,A,1410,0.1817343662727215,0.0
composite,eb_grid,B,1080,0.20693448305209325,0.0
composite,eb_grid,E,510,0.7909100218320041,0.0
composite,eb_predictable,A,1410,0.19725186564676495,0.0014184397163120568
composite,eb_predictable,B,1080,0.22515754473922428,0.0
composite,eb_predictable,E,510,0.8953272138184707,0.00196078431372549
composite,fixed_plugin_0.1,A,1410,0.10006266973052017,0.05177304964539007
composite,fixed_plugin_0.1,B,1080,0.10006266973052017,0.053703703703703705
composite,fixed_plugin_0.1,E,510,0.10006266973052017,0.30980392156862746
composite,fixed_plugin_0.25,A,1410,0.2500522247754335,0.03546099290780142
composite,fixed_plugin_0.25,B,1080,0.2500522247754335,0.03425925925925926
composite,fixed_plugin_0.25,E,510,0.2500522247754335,0.17450980392156862
composite,fixed_plugin_0.5,A,1410,0.5,0.02553191489361702
composite,fixed_plugin_0.5,B,1080,0.5,0.014814814814814815
composite,fixed_plugin_0.5,E,510,0.5,0.09607843137254903
composite,hoeffding_grid,A,1410,0.2819508953771073,0.0
composite,hoeffding_grid,B,1080,0.2890138414997408,0.0
composite,hoeffding_grid,E,510,0.9477127596390551,0.0
composite,normal_peeking,A,1410,0.056939302217738054,0.04964539007092199
composite,normal_peeking,B,1080,0.05664086375910065,0.037037037037037035
composite,normal_peeking,E,510,0.2816002900011059,0.23529411764705882
composite,separate_arm,A,1410,0.29052553680402154,0.0
composite,separate_arm,B,1080,0.30123095729947624,0.0
composite,separate_arm,E,510,0.9518190606094119,0.0
