dataset,cohort,method,runs,fraction,errors,error_rate
arc,margin_nearest,eb_grid,2000,0.9997162322274882,0,0.0
arc,margin_nearest,threshold_betting,2000,0.9952369668246446,14,0.007
arc,top_adjacent,eb_grid,2000,0.839193720379147,0,0.0
arc,top_adjacent,threshold_betting,2000,0.7367150473933649,0,0.0
composite,margin_nearest,eb_grid,2000,0.9990815228744516,1,0.0005
composite,margin_nearest,threshold_betting,2000,0.9765980259034887,27,0.0135
composite,top_adjacent,eb_grid,2000,0.5685501880091915,0,0.0
composite,top_adjacent,threshold_betting,2000,0.5110132650929601,2,0.001
gsm8k,margin_nearest,eb_grid,2000,0.9992982388973967,2,0.001
gsm8k,margin_nearest,threshold_betting,2000,0.9921408882082695,18,0.009
gsm8k,top_adjacent,eb_grid,2000,0.9488062787136293,0,0.0
gsm8k,top_adjacent,threshold_betting,2000,0.9100118683001531,4,0.002
hellaswag,margin_nearest,eb_grid,2000,0.9994848537909299,1,0.0005
hellaswag,margin_nearest,threshold_betting,2000,0.989608649973735,16,0.008
hellaswag,top_adjacent,eb_grid,2000,0.20290089301348274,0,0.0
hellaswag,top_adjacent,threshold_betting,2000,0.15691279985991946,0,0.0
mmlu-pro,margin_nearest,eb_grid,2000,0.9974247839095745,4,0.002
mmlu-pro,margin_nearest,threshold_betting,2000,0.9796760305851063,23,0.0115
mmlu-pro,top_adjacent,eb_grid,2000,0.3507774268617021,0,0.0
mmlu-pro,top_adjacent,threshold_betting,2000,0.29121297373670213,0,0.0
truthfulqa,margin_nearest,eb_grid,2000,0.9998804347826088,0,0.0
truthfulqa,margin_nearest,threshold_betting,2000,0.9973781055900621,7,0.0035
truthfulqa,top_adjacent,eb_grid,2000,0.8508408385093168,0,0.0
truthfulqa,top_adjacent,threshold_betting,2000,0.8024914596273292,0,0.0
winogrande,margin_nearest,eb_grid,2000,0.9999086124401914,0,0.0
winogrande,margin_nearest,threshold_betting,2000,0.9955980861244019,12,0.006
winogrande,top_adjacent,eb_grid,2000,0.7832047846889952,0,0.0
winogrande,top_adjacent,threshold_betting,2000,0.6912942583732057,0,0.0
