dataset,strata,method,runs,fraction,errors
arc,difficulty2,joint_neyman,100,0.8372511848341232,0
arc,difficulty2,joint_proportional,100,0.6709478672985781,0
arc,difficulty4,joint_neyman,100,0.923127962085308,0
arc,difficulty4,joint_proportional,100,0.6723222748815166,0
arc,difficulty8,joint_neyman,100,0.938909952606635,0
arc,difficulty8,joint_proportional,100,0.6833175355450237,0
arc,random4,joint_neyman,100,0.8071563981042654,0
arc,random4,joint_proportional,100,0.6912322274881517,0
composite,difficulty2,joint_neyman,100,0.39694171715061627,0
composite,difficulty2,joint_proportional,100,0.18017129726342176,0
composite,difficulty4,joint_neyman,100,0.5504407771046584,0
composite,difficulty4,joint_proportional,100,0.16842281178190935,0
composite,difficulty8,joint_neyman,100,0.6112889074576979,0
composite,difficulty8,joint_proportional,100,0.16752036766241904,0
composite,random4,joint_neyman,100,0.2321621057029455,0
composite,random4,joint_proportional,100,0.16835596406935452,0
composite,task,joint_neyman,100,0.5450762481721328,0
composite,task,joint_proportional,100,0.18637142260288278,0
gsm8k,difficulty2,joint_neyman,100,0.4658039816232772,0
gsm8k,difficulty2,joint_proportional,100,0.31802450229709034,0
gsm8k,difficulty4,joint_neyman,100,0.5260796324655437,0
gsm8k,difficulty4,joint_proportional,100,0.3152833078101072,0
gsm8k,difficulty8,joint_neyman,100,0.5605053598774885,0
gsm8k,difficulty8,joint_proportional,100,0.32091883614088823,0
gsm8k,random4,joint_neyman,100,0.3798774885145482,0
gsm8k,random4,joint_proportional,100,0.3280704441041348,0
hellaswag,difficulty2,joint_neyman,100,0.7371511118893364,0
hellaswag,difficulty2,joint_proportional,100,0.32923656102258797,0
hellaswag,difficulty4,joint_neyman,100,0.8371686219576255,0
hellaswag,difficulty4,joint_proportional,100,0.3399387147609875,0
hellaswag,difficulty8,joint_neyman,100,0.8286237086324637,0
hellaswag,difficulty8,joint_proportional,100,0.3343074767991595,0
hellaswag,random4,joint_neyman,100,0.5181211696725617,0
hellaswag,random4,joint_proportional,100,0.3373087025039398,0
mmlu-pro,difficulty2,joint_neyman,100,0.36497340425531916,0
mmlu-pro,difficulty2,joint_proportional,100,0.12372340425531915,0
mmlu-pro,difficulty4,joint_neyman,100,0.45067819148936167,0
mmlu-pro,difficulty4,joint_proportional,100,0.11456117021276596,0
mmlu-pro,difficulty8,joint_neyman,100,0.462593085106383,0
mmlu-pro,difficulty8,joint_proportional,100,0.1166622340425532,0
mmlu-pro,random4,joint_neyman,100,0.15533244680851063,0
mmlu-pro,random4,joint_proportional,100,0.11001329787234042,0
truthfulqa,difficulty2,joint_neyman,100,0.8103105590062111,0
truthfulqa,difficulty2,joint_proportional,100,0.6426086956521739,0
truthfulqa,difficulty4,joint_neyman,100,0.8520496894409938,0
truthfulqa,difficulty4,joint_proportional,100,0.6401242236024846,0
truthfulqa,difficulty8,joint_neyman,100,0.8624844720496894,0
truthfulqa,difficulty8,joint_proportional,100,0.6480745341614907,0
truthfulqa,random4,joint_neyman,100,0.7678260869565218,0
truthfulqa,random4,joint_proportional,100,0.6532919254658386,0
winogrande,difficulty2,joint_neyman,100,0.8640191387559808,0
winogrande,difficulty2,joint_proportional,100,0.6545645933014355,0
winogrande,difficulty4,joint_neyman,100,0.9376650717703349,0
winogrande,difficulty4,joint_proportional,100,0.6678851674641149,0
winogrande,difficulty8,joint_neyman,100,0.9303157894736842,0
winogrande,difficulty8,joint_proportional,100,0.6802870813397129,0
winogrande,random4,joint_neyman,100,0.8157894736842105,0
winogrande,random4,joint_proportional,100,0.663291866028708,0
