dataset,method,pairs,difference,cluster_bootstrap_lower,cluster_bootstrap_upper
arc,signal_uniform_lowrank,30,0.04813191153238547,0.03674496445497629,0.05893789494470775
arc,signal_weighted_lowrank,30,0.2092772511848341,0.1661821682464455,0.2499062993680884
composite,signal_uniform_lowrank,30,0.0029409511872432264,-0.00042033980920548776,0.005872667293363968
composite,signal_weighted_lowrank,30,0.055541745003829815,0.04225710256945895,0.06853676624190515
gsm8k,signal_uniform_lowrank,30,0.015750382848392037,0.011163731495661054,0.020669155181214895
gsm8k,signal_weighted_lowrank,30,0.15315467075038283,0.12291928279734558,0.18346681980602347
hellaswag,signal_uniform_lowrank,30,0.00975018969240647,-0.010867696842351013,0.023000787953073008
hellaswag,signal_weighted_lowrank,30,0.02963579057958326,-0.0018095634156306507,0.057927683417965316
mmlu-pro,signal_uniform_lowrank,30,-0.0015087544326241144,-0.010585473459663123,0.004738676030585099
mmlu-pro,signal_weighted_lowrank,30,0.03825299202127659,0.02467458305629432,0.049919984208776594
truthfulqa,signal_uniform_lowrank,30,0.04760869565217391,0.03609083850931677,0.05890967908902689
truthfulqa,signal_weighted_lowrank,30,0.16592132505175983,0.1251850414078675,0.20585571946169767
winogrande,signal_uniform_lowrank,30,0.02920893141945774,0.012949202551834129,0.045005103668261576
winogrande,signal_weighted_lowrank,30,0.17847527910685804,0.12730773524720893,0.22822488038277514
