dataset,method,runs,fraction,errors,prediction_mse
arc,signal_uniform_lowrank,300,0.5655805687203791,0,0.044264988377867166
arc,signal_weighted_lowrank,300,0.7267259083728278,0,0.044264988377867166
composite,signal_uniform_lowrank,300,0.1385854049160922,0,0.07133135925204696
composite,signal_weighted_lowrank,300,0.1911861987326788,0,0.07133135925204696
gsm8k,signal_uniform_lowrank,300,0.30443338437978557,0,0.06760029792041418
gsm8k,signal_weighted_lowrank,300,0.4418376722817764,0,0.06760029792041418
hellaswag,signal_uniform_lowrank,300,0.28151403723807855,0,0.023870951074602263
hellaswag,signal_weighted_lowrank,300,0.3013996381252554,0,0.023870951074602263
mmlu-pro,signal_uniform_lowrank,300,0.13914699689716312,0,0.05524025846517954
mmlu-pro,signal_weighted_lowrank,300,0.17890874335106383,0,0.05524025846517954
truthfulqa,signal_uniform_lowrank,300,0.6291718426501035,0,0.03611155882859539
truthfulqa,signal_weighted_lowrank,300,0.7474844720496895,0,0.03611155882859539
winogrande,signal_uniform_lowrank,300,0.6210940988835726,0,0.04126931101710263
winogrande,signal_weighted_lowrank,300,0.7703604465709729,0,0.04126931101710263
