dataset,method,pairs,fraction,bootstrap_lower,bootstrap_upper
arc,completion,100,0.9310813586097946,0.9190238645339651,0.9418285347551343
arc,eb_grid,100,0.5747808056872039,0.5135691943127962,0.6345492298578198
arc,eb_predictable,100,0.5279691943127962,0.46195981437598727,0.5964779423380726
arc,fixed_plugin_0.1,100,0.10071090047393362,0.10071090047393362,0.10071090047393362
arc,fixed_plugin_0.25,100,0.25,0.25,0.25
arc,fixed_plugin_0.5,100,0.5,0.5,0.5
arc,hoeffding_grid,100,0.7267721169036335,0.6738474723538708,0.7782930489731438
arc,normal_peeking,100,0.24828909952606634,0.20482795221169037,0.2930764514218009
arc,separate_arm,100,0.762900868878357,0.7144038902053712,0.8089860485781991
arc,serfling_spending,100,0.7932377567140602,0.7471756714060033,0.8368573360979462
composite,completion,100,0.9211211614790058,0.9080838477473715,0.934372141563958
composite,eb_grid,100,0.2943662697583733,0.22880062408606644,0.3630908998328807
composite,eb_predictable,100,0.3259707193092403,0.25363135227351863,0.40057649362857733
composite,fixed_plugin_0.1,100,0.10006266973052014,0.10006266973052014,0.10006266973052014
composite,fixed_plugin_0.25,100,0.25005222477543354,0.25005222477543354,0.25005222477543354
composite,fixed_plugin_0.5,100,0.5,0.5,0.5
composite,hoeffding_grid,100,0.39767307290578663,0.320412717603231,0.4763207915535129
composite,normal_peeking,100,0.09502423229580113,0.07056133190585616,0.12099511089060651
composite,separate_arm,100,0.4067993872293016,0.32875729667154097,0.4815895872501914
composite,serfling_spending,100,0.44739638604554005,0.3711024040804959,0.53072999529977
gsm8k,completion,100,0.8598351199591627,0.8379616577335376,0.8807487621235325
gsm8k,eb_grid,100,0.364525012761613,0.2956516526288923,0.4367733473711076
gsm8k,eb_predictable,100,0.34564190913731496,0.2729201123021951,0.4205879849412965
gsm8k,fixed_plugin_0.1,100,0.10030627871362946,0.10030627871362946,0.10030627871362946
gsm8k,fixed_plugin_0.25,100,0.25038284839203667,0.25038284839203667,0.25038284839203667
gsm8k,fixed_plugin_0.5,100,0.5,0.5,0.5
gsm8k,hoeffding_grid,100,0.438769525267994,0.36388501786625826,0.5112990364982134
gsm8k,normal_peeking,100,0.16143363961204696,0.11951281265952014,0.2051312659520163
gsm8k,separate_arm,100,0.4639566105155692,0.39507197549770284,0.5373044091373149
gsm8k,serfling_spending,100,0.4884418070444104,0.41715520673813156,0.5642476008167432
hellaswag,completion,100,0.9557447032043425,0.948631646530088,0.9628922415805755
hellaswag,eb_grid,100,0.3560100974727135,0.29290813488589273,0.42166600857993347
hellaswag,eb_predictable,100,0.34647393918169606,0.28006765598552497,0.4145790229381895
hellaswag,fixed_plugin_0.1,100,0.10015759061460344,0.10015759061460344,0.10015759061460344
hellaswag,fixed_plugin_0.25,100,0.2500437751707231,0.2500437751707231,0.2500437751707231
hellaswag,fixed_plugin_0.5,100,0.5000875503414463,0.5000875503414463,0.5000875503414463
