dataset,method,epsilon,runs,cost_fraction,median_fraction,errors,error_rate,census_fraction
arc,completion,0.01,3000,0.924830568720379,0.9312796208530806,0,0.0,0.011
arc,completion,0.02,3000,0.9310813586097946,0.9395734597156398,0,0.0,0.0
arc,completion,0.05,3000,0.943925355450237,0.9561611374407583,0,0.0,0.009666666666666667
arc,eb_grid,0.01,3000,0.5359530015797789,0.45793838862559244,0,0.0,0.011
arc,eb_grid,0.02,3000,0.5747808056872038,0.5290284360189573,0,0.0,0.0
arc,eb_grid,0.05,3000,0.6377665876777251,0.67239336492891,0,0.0,0.009666666666666667
arc,eb_predictable,0.01,3000,0.48400987361769354,0.3566350710900474,1,0.0003333333333333333,0.011
arc,eb_predictable,0.02,3000,0.5279691943127962,0.4324644549763033,0,0.0,0.0
arc,eb_predictable,0.05,3000,0.5956461295418641,0.6190758293838863,0,0.0,0.009666666666666667
arc,fixed_plugin_0.1,0.02,3000,0.10071090047393365,0.10071090047393365,594,0.198,0.0
arc,fixed_plugin_0.25,0.02,3000,0.25,0.25,357,0.119,0.0
arc,fixed_plugin_0.5,0.02,3000,0.5,0.5,243,0.081,0.0
arc,hoeffding_grid,0.01,3000,0.6961812796208531,0.7511848341232228,0,0.0,0.011
arc,hoeffding_grid,0.02,3000,0.7267721169036335,0.8092417061611374,0,0.0,0.0
arc,hoeffding_grid,0.05,3000,0.8023937598736177,0.9218009478672986,0,0.0,0.009666666666666667
arc,normal_peeking,0.01,3000,0.2256516587677725,0.07582938388625593,185,0.06166666666666667,0.0036666666666666666
arc,normal_peeking,0.02,3000,0.24828909952606637,0.09597156398104266,175,0.058333333333333334,0.0023333333333333335
arc,normal_peeking,0.05,3000,0.24382385466034756,0.13981042654028436,185,0.06166666666666667,0.005
arc,separate_arm,0.02,3000,0.762900868878357,0.8441943127962086,0,0.0,0.0
arc,serfling_spending,0.01,3000,0.7661627172195893,0.7784360189573459,0,0.0,0.011
arc,serfling_spending,0.02,3000,0.79323775671406,0.9360189573459715,0,0.0,0.0
arc,serfling_spending,0.05,3000,0.8460525276461296,0.9561611374407583,0,0.0,0.009666666666666667
composite,completion,0.01,3000,0.9147963581923265,0.9200960935867976,0,0.0,0.001
composite,completion,0.02,3000,0.9211211614790056,0.929339878838521,0,0.0,0.0
composite,completion,0.05,3000,0.9323692987953485,0.9532588259870483,0,0.0,0.0
composite,eb_grid,0.01,3000,0.27235683448227843,0.06026739085021934,1,0.0003333333333333333,0.001
composite,eb_grid,0.02,3000,0.2943662697583734,0.07692709421349489,0,0.0,0.0
composite,eb_grid,0.05,3000,0.25343614650790336,0.15338416544808858,0,0.0,0.0
composite,eb_predictable,0.01,3000,0.28964626418773065,0.04966576143722582,1,0.0003333333333333333,0.001
composite,eb_predictable,0.02,3000,0.3259707193092403,0.06360977647796115,3,0.001,0.0
composite,eb_predictable,0.05,3000,0.27969549474270594,0.13985794861082096,1,0.0003333333333333333,0.0
composite,fixed_plugin_0.1,0.02,3000,0.10006266973052015,0.10006266973052017,289,0.09633333333333334,0.0
composite,fixed_plugin_0.25,0.02,3000,0.2500522247754335,0.2500522247754335,176,0.058666666666666666,0.0
composite,fixed_plugin_0.5,0.02,3000,0.5,0.5,101,0.033666666666666664,0.0
composite,hoeffding_grid,0.01,3000,0.3600583176659007,0.13813453102151663,0,0.0,0.001
composite,hoeffding_grid,0.02,3000,0.3976730729057865,0.17578859410904535,0,0.0,0.0
composite,hoeffding_grid,0.05,3000,0.38705128472947564,0.3418633799874661,0,0.0,0.0
composite,normal_peeking,0.01,3000,0.09679931759626767,0.007833716315019846,220,0.07333333333333333,0.0023333333333333335
composite,normal_peeking,0.02,3000,0.09502423229580112,0.009400459578023814,230,0.07666666666666666,0.0016666666666666668
composite,normal_peeking,0.05,3000,0.07262864703015111,0.01556298307917276,207,0.069,0.0033333333333333335
composite,separate_arm,0.02,3000,0.4067993872293016,0.19599958220179653,0,0.0,0.0
composite,serfling_spending,0.01,3000,0.4089266764152914,0.23156465427198664,0,0.0,0.001
composite,serfling_spending,0.02,3000,0.44739638604554005,0.23156465427198664,0,0.0,0.0
composite,serfling_spending,0.05,3000,0.46357106051110647,0.5209943597242532,0,0.0,0.0
gsm8k,completion,0.01,3000,0.8537812659520164,0.869448698315467,0,0.0,0.0003333333333333333
gsm8k,completion,0.02,3000,0.8598351199591628,0.8778713629402757,0,0.0,0.0016666666666666668
gsm8k,completion,0.05,3000,0.8746814701378254,0.9035222052067382,0,0.0,0.02666666666666667
gsm8k,eb_grid,0.01,3000,0.34012506380806534,0.16003062787136293,0,0.0,0.0003333333333333333
gsm8k,eb_grid,0.02,3000,0.36452501276161303,0.1807044410413476,0,0.0,0.0016666666666666668
gsm8k,eb_grid,0.05,3000,0.384861664114344,0.24196018376722817,0,0.0,0.02666666666666667
gsm8k,eb_predictable,0.01,3000,0.3184749872383869,0.10566615620214395,0,0.0,0.0003333333333333333
gsm8k,eb_predictable,0.02,3000,0.3456419091373149,0.11753445635528331,1,0.0003333333333333333,0.0016666666666666668
