case,method,epsilon,alpha,runs,cost_fraction,median_fraction,errors,error_rate,census_fraction,coverage_failures,coverage_failure_rate,error_cp_lower,error_cp_upper
N1000_q0.05_d-0.02,completion,0.02,0.05,1000,1.0,1.0,0,0.0,1.0,0,0.0,0.0,0.003682083896865671
N1000_q0.05_d-0.02,eb_grid,0.02,0.05,1000,1.0,1.0,0,0.0,1.0,0,0.0,0.0,0.003682083896865671
N1000_q0.05_d-0.02,eb_predictable,0.02,0.05,1000,1.0,1.0,0,0.0,1.0,0,0.0,0.0,0.003682083896865671
N1000_q0.05_d-0.02,hoeffding_grid,0.02,0.05,1000,1.0,1.0,0,0.0,1.0,0,0.0,0.0,0.003682083896865671
N1000_q0.05_d-0.02,normal_peeking,0.02,0.05,1000,0.46154500000000004,0.288,176,0.176,0.226,777,0.777,0.1528782896164314,0.20104651271780777
N1000_q0.05_d-0.02,serfling_spending,0.02,0.05,1000,1.0,1.0,0,0.0,1.0,0,0.0,0.0,0.003682083896865671
N1000_q0.05_d0,completion,0.02,0.05,1000,0.9816229999999999,0.982,0,0.0,0.0,0,0.0,0.0,0.003682083896865671
N1000_q0.05_d0,eb_grid,0.02,0.05,1000,0.822809,0.82,0,0.0,0.0,0,0.0,0.0,0.003682083896865671
N1000_q0.05_d0,eb_predictable,0.02,0.05,1000,0.764755,0.761,0,0.0,0.0,0,0.0,0.0,0.003682083896865671
N1000_q0.05_d0,hoeffding_grid,0.02,0.05,1000,0.9816229999999999,0.982,0,0.0,0.0,0,0.0,0.0,0.003682083896865671
N1000_q0.05_d0,normal_peeking,0.02,0.05,1000,0.24953999999999998,0.2575,5,0.005,0.001,629,0.629,0.00162541951756276,0.011629470559812147
N1000_q0.05_d0,serfling_spending,0.02,0.05,1000,0.9816229999999999,0.982,0,0.0,0.0,0,0.0,0.0,0.003682083896865671
N1000_q0.05_d0.018,completion,0.02,0.05,1000,0.998952,0.999,0,0.0,0.02,0,0.0,0.0,0.003682083896865671
N1000_q0.05_d0.018,eb_grid,0.02,0.05,1000,0.9987820000000001,0.999,0,0.0,0.02,0,0.0,0.0,0.003682083896865671
