dataset,strata,method,runs,cost_ratio,median_cost_ratio,error_rate
arc,difficulty2,neyman,100,1.2693783025952448,1.1128311014099463,0.0
arc,difficulty2,proportional,100,1.3019439285456367,1.1570192307692309,0.0
arc,difficulty4,neyman,100,1.4572104011640346,1.1658489957619311,0.0
arc,difficulty4,proportional,100,1.5651641285981808,1.3205389435077173,0.0
arc,difficulty8,neyman,100,1.6045041341260105,1.2671240797675796,0.0
arc,difficulty8,proportional,100,1.6931107348091674,1.3363387978142076,0.0
arc,random4,neyman,100,1.5829913700962635,1.3175683299015597,0.0
arc,random4,proportional,100,1.5913924140908404,1.3346613924910964,0.0
composite,difficulty2,neyman,100,2.2672504092899417,1.9236165477012817,0.0
composite,difficulty2,proportional,100,2.2758014957078334,1.8669598997174783,0.0
composite,difficulty4,neyman,100,4.325800620429556,3.5550993124522536,0.0
composite,difficulty4,proportional,100,4.286779072710636,3.478646540027137,0.0
composite,difficulty8,neyman,100,7.693744625545219,6.789810961184614,0.0
composite,difficulty8,proportional,100,7.524551474425013,6.405789076264787,0.0
composite,random4,neyman,100,4.502502718885991,4.015158385696703,0.0
composite,random4,proportional,100,4.489886372668709,3.9911792014856085,0.0
composite,task,neyman,100,21.56871985535255,19.897728466386553,0.0
composite,task,proportional,100,21.538139576872844,19.737333683473388,0.0
gsm8k,difficulty2,neyman,100,1.7142959126875374,1.6320564773045851,0.0
gsm8k,difficulty2,proportional,100,1.7178047519901924,1.6399127528890491,0.0
gsm8k,difficulty4,neyman,100,2.901347493182196,2.8956675508399647,0.0
gsm8k,difficulty4,proportional,100,2.8791663899623567,2.887359254046446,0.0
gsm8k,difficulty8,neyman,100,4.631797433826751,4.182786024891287,0.0
gsm8k,difficulty8,proportional,100,4.5793686942009435,4.346122463459627,0.0
gsm8k,random4,neyman,100,3.035360363013765,2.975773107408101,0.0
gsm8k,random4,proportional,100,3.0298982086328903,3.0270236534980963,0.0
hellaswag,difficulty2,neyman,100,1.8300255855359147,1.7517761037981627,0.0
hellaswag,difficulty2,proportional,100,1.5579966023373504,1.4123110927557514,0.0
hellaswag,difficulty4,neyman,100,3.2479217650852577,2.8585638520279044,0.0
hellaswag,difficulty4,proportional,100,2.6557035530728688,2.4569030412526347,0.0
hellaswag,difficulty8,neyman,100,4.773632690060001,4.015040650406505,0.0
hellaswag,difficulty8,proportional,100,4.197441365804473,3.904022114926085,0.0
hellaswag,random4,neyman,100,3.018095312965524,2.848306608234844,0.0
hellaswag,random4,proportional,100,3.016034588157765,2.847900535009421,0.0
mmlu-pro,difficulty2,neyman,100,2.1175155367201035,1.8758267195767198,0.0
mmlu-pro,difficulty2,proportional,100,2.114593240325126,1.8956066945606695,0.0
mmlu-pro,difficulty4,neyman,100,4.082925520294312,3.943611867998789,0.0
mmlu-pro,difficulty4,proportional,100,3.9963815154951483,3.7731663035584604,0.0
mmlu-pro,difficulty8,neyman,100,7.990778588435907,8.40622233240075,0.0
mmlu-pro,difficulty8,proportional,100,7.799156532743934,8.15210970464135,0.0
mmlu-pro,random4,neyman,100,4.607306055763221,4.517786069651741,0.0
mmlu-pro,random4,proportional,100,4.596778389405877,4.468387096774194,0.0
truthfulqa,difficulty2,neyman,100,1.3543679753343216,1.0080313061679522,0.0
truthfulqa,difficulty2,proportional,100,1.3684435209231913,1.1212172802723983,0.0
truthfulqa,difficulty4,neyman,100,1.7855708323467903,1.2584570641359254,0.0
truthfulqa,difficulty4,proportional,100,1.7869534366122,1.3787778288007893,0.0
truthfulqa,difficulty8,neyman,100,2.107767110138204,1.3750786604758747,0.0
truthfulqa,difficulty8,proportional,100,2.1311201500316286,1.4179720053744238,0.0
truthfulqa,random4,neyman,100,1.847664460676256,1.3820765609734433,0.0
truthfulqa,random4,proportional,100,1.865354758714438,1.4130908039525827,0.0
winogrande,difficulty2,neyman,100,1.2584118530302892,1.025302272253492,0.0
winogrande,difficulty2,proportional,100,1.3250853087629761,1.11751291937892,0.0
winogrande,difficulty4,neyman,100,1.5070297648072124,1.219280034600925,0.0
winogrande,difficulty4,proportional,100,1.617828892289607,1.3810447668364674,0.0
winogrande,difficulty8,neyman,100,1.6771870385577796,1.362154016704149,0.0
winogrande,difficulty8,proportional,100,1.7864109801389043,1.4221830622154057,0.0
winogrande,random4,neyman,100,1.6280920624818074,1.330793629165342,0.0
winogrande,random4,proportional,100,1.6487949998182436,1.4044150369128316,0.0
