dataset,strata,method,runs,cost_fraction,median_fraction,errors,error_rate,census_fraction
arc,difficulty2,neyman,100,0.7849289099526067,0.8139810426540284,0,0.0,0.0
arc,difficulty2,proportional,100,0.811824644549763,0.8714454976303319,0,0.0,0.0
arc,difficulty4,neyman,100,0.8498104265402844,0.8359004739336493,0,0.0,0.0
arc,difficulty4,proportional,100,0.9108530805687204,0.9496445497630331,0,0.0,0.0
arc,difficulty8,neyman,100,0.9156635071090048,0.9129146919431279,0,0.0,0.0
arc,difficulty8,proportional,100,0.9518720379146919,0.9549763033175356,0,0.0,0.0
arc,none,unstratified,100,0.6862440758293838,0.7156398104265402,0,0.0,0.0
arc,random4,neyman,100,0.9148578199052133,0.9401658767772512,0,0.0,0.0
arc,random4,proportional,100,0.9206516587677726,0.95260663507109,0,0.0,0.0
composite,difficulty2,neyman,100,0.24982034677250886,0.08110507624817213,0,0.0,0.0
composite,difficulty2,proportional,100,0.2529883016503029,0.0796427825360351,0,0.0,0.0
composite,difficulty4,neyman,100,0.33046375600584915,0.16241905159807812,0,0.0,0.0
composite,difficulty4,proportional,100,0.3373386254439106,0.1670148318362231,0,0.0,0.0
composite,difficulty8,neyman,100,0.4343388343430123,0.3090139962398162,0,0.0,0.0
composite,difficulty8,proportional,100,0.4479110089826614,0.300919156047629,0,0.0,0.0
composite,none,unstratified,100,0.1715354083977439,0.03728848965949447,0,0.0,0.0
composite,random4,neyman,100,0.34329538332985166,0.17944432838938792,0,0.0,0.0
composite,random4,proportional,100,0.3440432421140589,0.17855650720701902,0,0.0,0.0
composite,task,neyman,100,0.751730729057865,0.7805514936285773,0,0.0,0.0
composite,task,proportional,100,0.7638614998955505,0.8096406935450178,0,0.0,0.0
gsm8k,difficulty2,neyman,100,0.4112940275650842,0.29402756508422667,0,0.0,0.0
gsm8k,difficulty2,proportional,100,0.41833843797856046,0.29632465543644715,0,0.0,0.0
gsm8k,difficulty4,neyman,100,0.5410336906584993,0.5065084226646248,0,0.0,0.0
gsm8k,difficulty4,proportional,100,0.5511944869831547,0.5034456355283308,0,0.0,0.0
gsm8k,difficulty8,neyman,100,0.6915160796324655,0.7396630934150077,0,0.0,0.0
gsm8k,difficulty8,proportional,100,0.7057963246554364,0.7542113323124042,0,0.0,0.0
gsm8k,none,unstratified,100,0.3266539050535988,0.18185298621745788,0,0.0,0.0
gsm8k,random4,neyman,100,0.5637059724349157,0.5409647779479326,0,0.0,0.0
gsm8k,random4,proportional,100,0.5636676875957121,0.5405819295558959,0,0.0,0.0
hellaswag,difficulty2,neyman,100,0.39509718087900547,0.3296270355454386,0,0.0,0.0
hellaswag,difficulty2,proportional,100,0.41918753283137805,0.26212572229031694,0,0.0,0.0
hellaswag,difficulty4,neyman,100,0.5342374365260024,0.5625109437926807,0,0.0,0.0
hellaswag,difficulty4,proportional,100,0.5425809840658379,0.45193486254596393,0,0.0,0.0
hellaswag,difficulty8,neyman,100,0.6501540886009455,0.6489231308002101,0,0.0,0.0
hellaswag,difficulty8,proportional,100,0.6670022763088777,0.6998774295219752,0,0.0,0.0
hellaswag,none,unstratified,100,0.3568867098581684,0.15916652074943094,0,0.0,0.0
hellaswag,random4,neyman,100,0.5784783750656628,0.5329189283838207,0,0.0,0.0
hellaswag,random4,proportional,100,0.5803046751882333,0.5227630887760462,0,0.0,0.0
mmlu-pro,difficulty2,neyman,100,0.16108793218085107,0.03287067819148936,0,0.0,0.0
mmlu-pro,difficulty2,proportional,100,0.1662009640957447,0.03316156914893617,0,0.0,0.0
mmlu-pro,difficulty4,neyman,100,0.2129895279255319,0.07567320478723405,0,0.0,0.0
mmlu-pro,difficulty4,proportional,100,0.22079621010638298,0.072265625,0,0.0,0.0
mmlu-pro,difficulty8,neyman,100,0.3037159242021277,0.15147107712765956,0,0.0,0.0
mmlu-pro,difficulty8,proportional,100,0.311382147606383,0.14710771276595744,0,0.0,0.0
mmlu-pro,none,unstratified,100,0.11853058510638298,0.02069481382978723,0,0.0,0.0
mmlu-pro,random4,neyman,100,0.23255152925531916,0.08319481382978723,0,0.0,0.0
mmlu-pro,random4,proportional,100,0.23282413563829787,0.0845246010638298,0,0.0,0.0
truthfulqa,difficulty2,neyman,100,0.7239596273291926,0.7546583850931676,0,0.0,0.06
truthfulqa,difficulty2,proportional,100,0.750419254658385,0.8781055900621118,0,0.0,0.04
truthfulqa,difficulty4,neyman,100,0.8236180124223602,0.8555900621118012,0,0.0,0.05
truthfulqa,difficulty4,proportional,100,0.851055900621118,0.9347826086956521,0,0.0,0.04
truthfulqa,difficulty8,neyman,100,0.8988198757763974,0.9177018633540373,0,0.0,0.05
truthfulqa,difficulty8,proportional,100,0.9124223602484471,0.9464285714285714,0,0.0,0.04
truthfulqa,none,unstratified,100,0.6353105590062111,0.6521739130434783,0,0.0,0.07
truthfulqa,random4,neyman,100,0.8580434782608696,0.9184782608695652,0,0.0,0.06
truthfulqa,random4,proportional,100,0.8685403726708074,0.9433229813664596,0,0.0,0.05
winogrande,difficulty2,neyman,100,0.740468899521531,0.7215311004784689,0,0.0,0.1
